Time[sec], DTG[m], V(tas)[m/s], vRate[m/s], x[m], y[m], h[m], gs[fps]
107,222438.05119,220.192,-0.000,190715.31931,53072.01837,10668.00000,617.22512
108,222249.91768,220.186,-0.000,190527.19186,53070.38044,10668.00000,617.23942
109,222061.77685,220.182,-0.000,190339.05721,53068.72359,10668.00000,617.26360
110,221873.62673,220.179,-0.000,190150.91332,53067.05594,10668.00000,617.29423
111,221685.46606,220.175,-0.000,189962.75890,53065.38466,10668.00000,617.32888
112,221497.29408,220.170,-0.000,189774.59317,53063.71596,10668.00000,617.36593
113,221309.11039,220.165,-0.000,189586.41567,53062.05506,10668.00000,617.40430
114,221120.91476,220.160,-0.000,189398.22617,53060.40632,10668.00000,617.44333
115,220932.70708,220.154,-0.000,189210.02454,53058.77322,10668.00000,617.48265
116,220744.48732,220.147,-0.000,189021.81072,53057.15849,10668.00000,617.52211
117,220556.25544,220.140,-0.000,188833.58468,53055.56419,10668.00000,617.56167
118,220368.01138,220.133,-0.000,188645.34635,53053.99178,10668.00000,617.60138
119,220179.75509,220.126,-0.000,188457.09565,53052.44219,10668.00000,617.64132
120,219991.48645,220.118,-0.000,188268.83248,53050.91595,10668.00000,617.68161
121,219803.20532,220.111,-0.000,188080.55671,53049.41320,10668.00000,617.72235
122,219614.91155,220.104,-0.000,187892.26815,53047.93382,10668.00000,617.76366
123,219426.60493,220.097,-0.000,187703.96663,53046.47744,10668.00000,617.80562
124,219238.28525,220.091,-0.000,187515.65193,53045.04352,10668.00000,617.84829
125,219049.95229,220.084,-0.000,187327.32383,53043.63137,10668.00000,617.89173
126,218861.60580,220.079,-0.000,187138.98209,53042.24022,10668.00000,617.93595
127,218673.24555,220.073,-0.000,186950.62648,53040.86923,10668.00000,617.98098
128,218484.87129,220.068,-0.000,186762.25676,53039.51751,10668.00000,618.02680
129,218296.48280,220.063,-0.000,186573.87270,53038.18416,10668.00000,618.07340
130,218108.07984,220.059,-0.000,186385.47409,53036.86830,10668.00000,618.12076
131,217919.66221,220.055,-0.000,186197.06071,53035.56901,10668.00000,618.16883
132,217731.22969,220.051,-0.000,186008.63237,53034.28545,10668.00000,618.21758
133,217542.78210,220.048,-0.000,185820.18887,53033.01676,10668.00000,618.26696
134,217354.31926,220.045,-0.000,185631.73005,53031.76214,10668.00000,618.31692
135,217165.84101,220.042,-0.000,185443.25574,53030.52081,10668.00000,618.36743
136,216977.34721,220.040,-0.000,185254.76581,53029.29205,10668.00000,618.41842
137,216788.83771,220.038,-0.000,185066.26013,53028.07515,10668.00000,618.46985
138,216600.31240,220.036,-0.000,184877.73858,53026.86945,10668.00000,618.52168
139,216411.77118,220.034,-0.000,184689.20105,53025.67433,10668.00000,618.57387
140,216223.21394,220.032,-0.000,184500.64746,53024.48920,10668.00000,618.62637
141,216034.64061,220.031,-0.000,184312.07772,53023.31351,10668.00000,618.67916
142,215846.05111,220.030,-0.000,184123.49175,53022.14675,10668.00000,618.73219
143,215657.44536,220.028,-0.000,183934.88951,53020.98841,10668.00000,618.78543
144,215468.82333,220.027,-0.000,183746.27093,53019.83803,10668.00000,618.83887
145,215280.18495,220.026,-0.000,183557.63597,53018.69519,10668.00000,618.89246
146,215091.53019,220.026,-0.000,183368.98459,53017.55947,10668.00000,618.94620
147,214902.87147,220.025,-0.000,183180.32921,53016.43021,10668.00000,618.95918
148,214714.21041,220.024,-0.000,182991.67146,53015.30699,10668.00000,618.96684
149,214525.54699,220.024,-0.000,182803.01132,53014.18948,10668.00000,618.97458
150,214336.88119,220.023,-0.000,182614.34877,53013.07738,10668.00000,618.98237
151,214148.21300,220.023,-0.000,182425.68380,53011.97040,10668.00000,618.99023
152,213959.54239,220.022,-0.000,182237.01638,53010.86831,10668.00000,618.99814
153,213770.86935,220.022,-0.000,182048.34652,53009.77086,10668.00000,619.00609
154,213582.19388,220.021,-0.000,181859.67419,53008.67782,10668.00000,619.01408
155,213393.51596,220.021,-0.000,181670.99940,53007.58900,10668.00000,619.02210
156,213204.83558,220.021,-0.000,181482.32213,53006.50418,10668.00000,619.03015
157,213016.15274,220.021,-0.000,181293.64237,53005.42319,10668.00000,619.03822
158,212827.46744,220.020,-0.000,181104.96013,53004.34584,10668.00000,619.04631
159,212638.77967,220.020,-0.000,180916.27541,53003.27195,10668.00000,619.05440
160,212450.08943,220.020,-0.000,180727.58819,53002.20136,10668.00000,619.06251
161,212261.39671,220.020,-0.000,180538.89849,53001.13390,10668.00000,619.07062
162,212072.70152,220.020,-0.000,180350.20629,53000.06942,10668.00000,619.07873
163,211884.00386,220.020,-0.000,180161.51161,52999.00778,10668.00000,619.08684
164,211695.30373,220.019,-0.000,179972.81444,52997.94883,10668.00000,619.09495
165,211506.60112,220.019,-0.000,179784.11479,52996.89243,10668.00000,619.10305
166,211317.89605,220.019,-0.000,179595.41265,52995.83845,10668.00000,619.11116
167,211129.18850,220.019,-0.000,179406.70803,52994.78677,10668.00000,619.11926
168,210940.47849,220.019,-0.000,179218.00093,52993.73727,10668.00000,619.12736
169,210751.76600,220.019,-0.000,179029.29135,52992.68983,10668.00000,619.13546
170,210563.05105,220.019,-0.000,178840.57929,52991.64435,10668.00000,619.14356
171,210374.33362,220.019,-0.000,178651.86475,52990.60071,10668.00000,619.15166
172,210185.61373,220.019,-0.000,178463.14773,52989.55882,10668.00000,619.15976
173,209996.89137,220.019,-0.000,178274.42824,52988.51858,10668.00000,619.16785
174,209808.16654,220.019,-0.000,178085.70626,52987.47991,10668.00000,619.17596
175,209619.43924,220.019,-0.000,177896.98181,52986.44272,10668.00000,619.18406
176,209430.70947,220.019,-0.000,177708.25488,52985.40693,10668.00000,619.19218
177,209241.97722,220.019,-0.000,177519.52546,52984.37246,10668.00000,619.20029
178,209053.24250,220.019,-0.000,177330.79356,52983.33924,10668.00000,619.20842
179,208864.50529,220.019,-0.000,177142.05918,52982.30719,10668.00000,619.21656
180,208675.76560,220.019,-0.000,176953.32231,52981.27626,10668.00000,619.22470
181,208487.02343,220.019,-0.000,176764.58294,52980.24637,10668.00000,619.23286
182,208298.27876,220.019,-0.000,176575.84108,52979.21748,10668.00000,619.24103
183,208109.53160,220.019,-0.000,176387.09671,52978.18952,10668.00000,619.24922
184,207920.78194,220.019,-0.000,176198.34985,52977.16245,10668.00000,619.25742
185,207732.02977,220.019,-0.000,176009.60047,52976.13621,10668.00000,619.26564
186,207543.27510,220.019,-0.000,175820.84858,52975.11075,10668.00000,619.27388
187,207354.51790,220.018,-0.000,175632.09416,52974.08604,10668.00000,619.28214
